Slope_Pct,Aspect,Tri_Index,Node_Index,TinNod.xyz
10.13793755,279.4623222,2069,813,"317310.22,2899748.82,183"
1.699673171,11.30993247,1619,807,"317010.22,2900048.82,179"
1.699673171,11.30993247,1619,808,"317310.22,2900048.82,178"
1.699673171,11.30993247,1619,813,"317310.22,2899748.82,183"
1.699673171,11.30993247,2068,807,"317010.22,2900048.82,179"
1.699673171,11.30993247,2068,813,"317310.22,2899748.82,183"
1.699673171,11.30993247,2068,1221,"317010.22,2899748.82,184"
3.018461713,6.340191746,2435,813,"317310.22,2899748.82,183"
3.018461713,6.340191746,2435,1221,"317010.22,2899748.82,184"
3.018461713,6.340191746,2435,1059,"317010.22,2899448.82,193"
6.708203933,63.43494882,2109,1048,"316710.22,2899748.82,202"
6.708203933,63.43494882,2109,1221,"317010.22,2899748.82,184"
6.708203933,63.43494882,2109,1059,"317010.22,2899448.82,193"
9.433981132,212.0053832,2111,1048,"316710.22,2899748.82,202"
9.433981132,212.0053832,2111,1059,"317010.22,2899448.82,193"
9.433981132,212.0053832,2111,1058,"316710.22,2899448.82,178"
5.099019514,281.3099325,2474,1059,"317010.22,2899448.82,193"
5.099019514,281.3099325,2474,1058,"316710.22,2899448.82,178"
5.099019514,281.3099325,2474,1240,"316710.22,2899148.82,181"
4,180,2112,1059,"317010.22,2899448.82,193"
4,180,2112,1240,"316710.22,2899148.82,181"
4,180,2112,1241,"317010.22,2899148.82,181"
5.333333333,180,2475,1240,"316710.22,2899148.82,181"
5.333333333,180,2475,1241,"317010.22,2899148.82,181"
5.333333333,180,2475,833,"317010.22,2898848.82,165"
6.798692685,78.69006753,1087,1240,"316710.22,2899148.82,181"
6.798692685,78.69006753,1087,833,"317010.22,2898848.82,165"
6.798692685,78.69006753,1087,567,"316710.22,2898848.82,185"
4.853406593,74.0546041,2473,1240,"316710.22,2899148.82,181"
4.853406593,74.0546041,2473,567,"316710.22,2898848.82,185"
4.853406593,74.0546041,2473,563,"316410.22,2899148.82,195"
9.718253158,210.9637565,1127,567,"316710.22,2898848.82,185"
9.718253158,210.9637565,1127,563,"316410.22,2899148.82,195"
9.718253158,210.9637565,1127,367,"316410.22,2898848.82,170"
8.653836657,164.3577535,717,562,"316110.22,2899148.82,202"
8.653836657,164.3577535,717,563,"316410.22,2899148.82,195"
8.653836657,164.3577535,717,367,"316410.22,2898848.82,170"
7.557189366,138.5763344,728,562,"316110.22,2899148.82,202"
7.557189366,138.5763344,728,367,"316410.22,2898848.82,170"
7.557189366,138.5763344,728,366,"316110.22,2898848.82,185"
5.385164807,68.19859051,1135,367,"316410.22,2898848.82,170"
